Date time,Automatic Weather Station,Air Temperature(degree Celsius)
202404211040,Chek Lap Kok,27.6
202404211040,Cheung Chau,25.8
202404211040,Clear Water Bay,26.0
202404211040,Happy Valley,27.7
202404211040,HK Observatory,27.2
202404211040,HK Park,26.7
202404211040,Kai Tak Runway Park,27.4
202404211040,Kau Sai Chau,26.1
202404211040,King's Park,26.5
202404211040,Kowloon City,26.2
202404211040,Kwun Tong,26.2
202404211040,Lau Fau Shan,25.4
202404211040,Ngong Ping,22.7
202404211040,Pak Tam Chung,25.4
202404211040,Peng Chau,26.6
202404211040,Sai Kung,25.7
202404211040,Sha Tin,27.2
202404211040,Sham Shui Po,26.7
202404211040,Shau Kei Wan,26.7
202404211040,Shek Kong,26.4
202404211040,Sheung Shui,24.7
202404211040,Stanley,26.7
202404211040,Ta Kwu Ling,24.4
202404211040,Tai Lung,24.9
202404211040,Tai Mei Tuk,25.2
202404211040,Tai Mo Shan,20.1
202404211040,Tai Po,25.1
202404211040,Tate's Cairn,22.5
202404211040,The Peak,22.6
202404211040,Tseung Kwan O,25.9
202404211040,Tsing Yi,26.3
202404211040,Tsuen Wan Ho Koon,24.3
202404211040,Tsuen Wan Shing Mun Valley,25.5
202404211040,Tuen Mun,26.2
202404211040,Waglan Island,26.3
202404211040,Wetland Park,24.6
202404211040,Wong Chuk Hang,26.9
202404211040,Wong Tai Sin,26.6
202404211040,Yuen Long Park,25.7
